type_hotel,location,rating,reviewer,distance,type_bed,area,price
hotel, Quận Hoàn Kiếm,9.0,571,4.7, 1 đôi lớn,18,1200
hotel, Quận Hoàn Kiếm,9.0,571,4.7, 2 đơn,25,1140
hotel, Quận Hoàn Kiếm,9.0,571,4.7, 2 đơn,28,1400
hotel, Quận Hoàn Kiếm,9.0,571,4.7, 1 đôi lớn,35,2000
hotel, Quận Hoàn Kiếm,9.0,571,4.7, 1 đơn,35,2100
hotel, Quận Hoàn Kiếm,9.4,3,1.9, 1 đôi,22,2683
hotel, Quận Hoàn Kiếm,9.4,3,1.9, 1 đôi cực lớn,25,3049
hotel, Quận Hoàn Kiếm,9.4,3,1.9, 1 đôi lớn,25,3005
hotel, Quận Hoàn Kiếm,9.4,3,1.9, 2 đôi lớn,28,3415
hotel, Quận Hoàn Kiếm,9.4,3,1.9, 2 đôi lớn,28,3327
hotel, Quận Hoàn Kiếm,9.4,3,1.9, 1 đôi lớn,28,3781
hotel, Quận Hoàn Kiếm,9.4,3,1.9, 1 đôi,45,3756
hotel, Quận Hai Bà Trưng,8.1,18,3.5823529411764703, 2 đơn,27,1537
hotel, Quận Hai Bà Trưng,8.1,18,3.5823529411764703, 1 đôi lớn,30,3037
hotel, Quận Hai Bà Trưng,8.1,18,3.5823529411764703, 2 đơn,40,3206
hotel, Quận Hai Bà Trưng,8.1,18,3.5823529411764703, 1 đôi lớn,30,3645
hotel, Quận Hoàn Kiếm,8.5,553,2.5, 1 đôi lớn,23,1200
hotel, Quận Hoàn Kiếm,8.5,553,2.5, 2 đơn,23,1344
hotel, Quận Hoàn Kiếm,8.5,553,2.5, 2 đơn,28,1536
hotel, Quận Hoàn Kiếm,8.5,553,2.5, 1 đôi lớn,28,1776
hotel, Quận Hoàn Kiếm,9.6,450,1.6, 2 đơn,28,4885
hotel, Quận Hoàn Kiếm,9.6,450,1.6, 1 đôi cực lớn,52,5435
hotel, Quận Hoàn Kiếm,9.6,450,1.6, 1 đôi cực lớn,54,8723
hotel, Quận Hoàn Kiếm,9.6,221,2.4, 1 đơn,16,1250
hotel, Quận Hoàn Kiếm,9.6,221,2.4, 1 đơn,28,2000
hotel, Quận Hoàn Kiếm,9.6,221,2.4, 2 đơn,33,2250
hotel, Quận Hoàn Kiếm,9.6,221,2.4, 1 đôi cực lớn,38,2362
hotel, Quận Hoàn Kiếm,8.2,72,4.7, 1 đôi lớn,22,1060
hotel, Quận Hoàn Kiếm,8.2,72,4.7, 1 đôi lớn,25,1390
hotel, Quận Hoàn Kiếm,8.2,72,4.7, 1 đơn,28,1499
hotel, Quận Hoàn Kiếm,8.2,72,4.7, 1 đôi cực lớn,32,1509
hotel, Quận Hoàn Kiếm,9.1,595,4.9, 2 đơn,26,2000
