type_hotel,location,rating,reviewer,distance,type_bed,area,price
0,hotel,"
85 Ma May Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 571 đánh giá,"
4,7 km
","
1 giường đôi lớn

",18 m²,"
VND 1.200.000
"
1,hotel,"
85 Ma May Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 571 đánh giá,"
4,7 km
","
2 giường đơn

",25 m²,"
VND 1.140.000
"
2,hotel,"
85 Ma May Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 571 đánh giá,"
4,7 km
","
2 giường đơn

",28 m²,"
VND 1.400.000
"
3,hotel,"
85 Ma May Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 571 đánh giá,"
4,7 km
","
1 giường đôi lớn

",35 m²,"
VND 2.000.000
"
4,hotel,"
85 Ma May Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,0", · 571 đánh giá,"
4,7 km
","
1 giường đơn

",35 m²,"
VND 2.100.000
"
5,hotel,"
39 Thợ Nhuộm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 3.039 đánh giá,"
1,9 km
","
1 giường đôi

",22 m²,"
VND 2.683.296
"
6,hotel,"
39 Thợ Nhuộm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 3.039 đánh giá,"
1,9 km
","
1 giường đôi cực lớn

",25 m²,"
VND 3.049.200
"
7,hotel,"
39 Thợ Nhuộm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 3.039 đánh giá,"
1,9 km
","
1 giường đôi lớn

",25 m²,"
VND 3.005.292
"
8,hotel,"
39 Thợ Nhuộm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 3.039 đánh giá,"
1,9 km
","
2 giường đôi lớn

",28 m²,"
VND 3.415.104
"
9,hotel,"
39 Thợ Nhuộm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 3.039 đánh giá,"
1,9 km
",,28 m²,"
VND 3.327.287
"
10,hotel,"
39 Thợ Nhuộm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 3.039 đánh giá,"
1,9 km
",,28 m²,"
VND 3.781.008
"
11,hotel,"
39 Thợ Nhuộm, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,4", · 3.039 đánh giá,"
1,9 km
",,45 m²,"
VND 3.756.614
"
12,hotel,"
716 Bach Dang, Hai Ba Trung District, Quận Hai Bà Trưng, Hà Nội, Việt Nam
","8,1", · 18 đánh giá,0,"
2 giường đơn

",27 m²,"
                        

    VND 1.537.735


					"
13,hotel,"
716 Bach Dang, Hai Ba Trung District, Quận Hai Bà Trưng, Hà Nội, Việt Nam
","8,1", · 18 đánh giá,0,"
1 giường đôi lớn

",30 m²,"
VND 3.037.500
"
14,hotel,"
716 Bach Dang, Hai Ba Trung District, Quận Hai Bà Trưng, Hà Nội, Việt Nam
","8,1", · 18 đánh giá,0,"
2 giường đơn

",40 m²,"
VND 3.206.250
"
15,hotel,"
716 Bach Dang, Hai Ba Trung District, Quận Hai Bà Trưng, Hà Nội, Việt Nam
","8,1", · 18 đánh giá,0,"
1 giường đôi lớn

",0,"
VND 3.645.000
"
16,hotel,"
22 Chan Cam, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,5", · 553 đánh giá,"
2,5 km
","
1 giường đôi lớn

",23 m²,"
VND 1.200.000
"
17,hotel,"
22 Chan Cam, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,5", · 553 đánh giá,"
2,5 km
","
2 giường đơn

",23 m²,"
VND 1.344.000
"
18,hotel,"
22 Chan Cam, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,5", · 553 đánh giá,"
2,5 km
","
2 giường đơn

",28 m²,"
VND 1.536.000
"
19,hotel,"
22 Chan Cam, Hoan Kiem, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","8,5", · 553 đánh giá,"
2,5 km
","
1 giường đôi lớn

",28 m²,"
VND 1.776.000
"
20,hotel,"
33 Đường Thành, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,6", · 450 đánh giá,"
1,6 km
","
2 giường đơn

",28 m²,"
VND 4.885.100
"
21,hotel,"
33 Đường Thành, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,6", · 450 đánh giá,"
1,6 km
","
1 giường đôi cực lớn

",52 m²,"
VND 5.435.100
"
22,hotel,"
33 Đường Thành, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,6", · 450 đánh giá,"
1,6 km
",,54 m²,"
VND 8.723.000
"
23,hotel,"
3 Yen Thai Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,6", · 221 đánh giá,"
2,4 km
","
1 giường đơn

",16 m²,"
VND 1.250.000
"
24,hotel,"
3 Yen Thai Street, Quận Hoàn Kiếm, Hà Nội, Việt Nam
","9,6", · 221 đánh giá,"
2,4 km
","
1 giường đơn

",28 m²,"
VND 2.000.000
"
